HeavyAtomMolWt,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,Chi0,Chi1,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,TPSA,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,FractionCSP3,refractive_index,state,E_T(30),E_T^N,coor_0_atomic_No.,coor_1_atomic_No.,coor_2_atomic_No.,coor_3_atomic_No.,max_delta_X_coor_0,max_delta_X_coor_1,max_delta_X_coor_2,max_delta_X_coor_3,min_delta_X_coor_0,min_delta_X_coor_1,min_delta_X_coor_2,min_delta_X_coor_3,sum_delta_X_coor_0,sum_delta_X_coor_1,sum_delta_X_coor_2,sum_delta_X_coor_3,max_bond_order_coor_0,max_bond_order_coor_1,max_bond_order_coor_2,max_bond_order_coor_3,min_bond_order_coor_0,min_bond_order_coor_1,min_bond_order_coor_2,min_bond_order_coor_3,sum_bond_order_coor_0,sum_bond_order_coor_1,sum_bond_order_coor_2,sum_bond_order_coor_3,kappa1,kappa2,kappa3,phi,Exp. emission energy
647.465,0,0.684210526,1.315789474,2.052631579,1.515817297,25.97396254,18.28667882,-3.551688312,22.43379024,7.30188564,2.678974884,227.8008191,21.03,38,0,3,0,3,3,3,2,5,3,0,4,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.176470588,1.4448,1,40.7,0.309,6,8,7,7,0,0.89,0.49,0.49,0,0.89,0.49,0.49,0,0.89,0.98,0.98,1.5,1,1.5,1.5,1.5,1,1.5,1.5,3,1,3,3,25.69,8.998,3.552,4.311,2.48496994
923.718,0,0.459016393,0.967213115,1.557377049,1.327361107,42.81046135,28.75202389,-5.111688312,38.78501615,12.28883513,5.136508524,366.9235396,21.03,61,0,3,1,3,4,5,2,7,3,0,4,1,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.298245614,1.4448,1,40.7,0.309,6,8,7,7,0,0.89,0.49,0.49,0,0.89,0.49,0.49,0,0.89,0.98,0.98,1.5,1,1.5,1.5,1.5,1,1.5,1.5,3,1,3,3,43.563,14.749,6.37,7.814,2.254545455
767.575,0,0.604166667,1.25,2,1.299768247,31.8294874,23.71351105,-4.331688312,27.60205727,9.422809013,2.880815871,286.3060195,21.03,48,0,3,2,3,5,4,2,6,3,0,4,6,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.227272727,1.4448,1,40.7,0.309,6,8,7,7,0,0.89,0.49,0.49,0,0.89,0.49,0.49,0,0.89,0.98,0.98,1.5,1,1.5,1.5,1.5,1,1.5,1.5,3,1,3,3,31.52,11.499,3.766,5.419,2.48496994
764.518,0,0.652173913,1.413043478,2.282608696,1.438482711,30.90468396,22.23620201,-4.741688312,25.45036254,7.787919603,2.579325615,265.5325722,19.97,46,0,4,0,4,4,4,3,7,4,0,8,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.105263158,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,29.703,9.86,3.51,4.309,2.398452611
731.546,0,0.466666667,1.088888889,1.888888889,1.382852473,30.03444047,21.87504723,-4.531688312,24.74996742,7.634020362,2.480153381,266.794486,18.28,45,0,4,0,5,5,4,2,6,4,0,5,0,0,0,0,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.15,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,28.8,9.612,3.273,4.199,2.421875
617.42,0,0.857142857,1.742857143,2.657142857,1.593244388,23.05131281,17.19154381,-3.761688312,18.55162715,5.891740544,1.880391256,204.5807059,43.78,35,0,6,0,3,3,2,4,6,6,0,7,1,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.107142857,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0,0.49,0,0,0.49,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,21.882,7.556,2.543,3.123,2.719298246
689.486,0,0.756097561,1.585365854,2.463414634,1.415021014,27.19757718,20.06855391,-4.541688312,22.18227351,7.202058347,2.405479604,239.6378001,43.78,41,0,6,0,3,3,3,4,7,6,0,7,1,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.088235294,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0,0.49,0,0,0.49,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,26.24,9.273,3.265,3.896,2.707423581
591.402,0,0.757575758,1.666666667,2.636363636,1.651682838,21.47396254,16.28086021,-3.691688312,16.8735921,5.267229084,1.639810084,192.6311737,30.89,33,0,5,0,3,3,3,3,6,5,0,6,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.037037037,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0,0.49,0,0,0.49,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,20.102,6.851,2.255,2.693,2.755555556
627.435,0,0.722222222,1.583333333,2.472222222,1.647002274,24.084693,17.49607426,-3.691688312,19.49145885,5.987044675,1.891845991,211.726,30.89,36,0,5,0,3,3,3,3,6,5,0,6,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.133333333,1.4448,1,40.7,0.309,6,6,7,7,0,0,0.49,0.49,0,0,0,0.49,0,0,0.49,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,22.779,7.592,2.606,3.241,2.76169265
639.446,0,0.675675676,1.459459459,2.405405405,1.489473047,24.04287664,18.29769696,-4.081688312,19.08577548,6.066730142,1.860557518,216.3967022,26.54,37,0,5,0,4,4,4,2,6,5,0,6,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.032258065,1.4448,1,40.7,0.309,6,6,6,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1,1.5,1.5,1.5,1,1.5,3,3,2,3,22.662,7.84,2.54,3.13,2.719298246
759.556,0,0.70212766,1.446808511,2.29787234,1.180142476,30.33540538,23.19667645,-4.081688312,25.00436555,8.128989726,2.678447435,277.0286299,26.54,47,0,5,4,4,8,4,2,6,5,0,6,1,4,0,4,14,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.268292683,1.4448,1,40.7,0.309,6,6,6,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1,1.5,1.5,1.5,1,1.5,3,3,2,3,28.57,9.9,3.393,4.325,2.737306843
831.622,0,0.641509434,1.358490566,2.188679245,1.145748719,34.37093928,26.16787356,-4.861688312,28.6162037,9.433164,3.060833062,312.0857241,26.54,53,0,5,4,4,8,5,2,7,5,0,6,2,4,0,4,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.234042553,1.4448,1,40.7,0.309,6,6,6,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1,1.5,1.5,1.5,1,1.5,3,3,2,3,32.9,11.596,3.925,5.093,2.689804772
843.633,0,0.666666667,1.388888889,2.203703704,1.139478093,35.24118277,26.56172041,-4.861688312,29.4905615,9.676468883,3.126946618,318.4506662,26.54,54,0,5,4,4,8,5,2,7,5,0,6,2,4,0,4,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.25,1.4448,1,40.7,0.309,6,6,6,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1,1.5,1.5,1.5,1,1.5,3,3,2,3,33.791,11.844,4.073,5.284,2.719298246
