index,HeavyAtomMolWt,NumRadicalElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,Chi0,Chi1,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,TPSA,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,FractionCSP3,refractive_index,state,E_T(30),E_T^N,coor_0_atomic_No.,coor_1_atomic_No.,coor_2_atomic_No.,coor_3_atomic_No.,max_delta_X_coor_0,max_delta_X_coor_1,max_delta_X_coor_2,max_delta_X_coor_3,min_delta_X_coor_0,min_delta_X_coor_1,min_delta_X_coor_2,min_delta_X_coor_3,sum_delta_X_coor_0,sum_delta_X_coor_1,sum_delta_X_coor_2,sum_delta_X_coor_3,max_bond_order_coor_0,max_bond_order_coor_1,max_bond_order_coor_2,max_bond_order_coor_3,min_bond_order_coor_0,min_bond_order_coor_1,min_bond_order_coor_2,min_bond_order_coor_3,sum_bond_order_coor_0,sum_bond_order_coor_1,sum_bond_order_coor_2,sum_bond_order_coor_3,kappa1,kappa2,kappa3,phi,Exp. PLQY,Exp. kr,Exp. emission wavelength,Exp. emission energy,Exp. lifetime,Exp. knr,Ref.
1,630.43,0,0.833333333,1.666666667,2.472222222,1.536270735,24.23347556,17.66983429,-2.841688312,21.26316933,7.133000384,2.213171402,214.9982555,21.03,36,0,3,1,3,4,2,2,4,3,0,5,6,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.290322581,1.4448,1,40.7,0.309,6,8,7,7,0,0.89,0.49,0.49,0,0.89,0.49,0.49,0,0.89,0.98,0.98,1.5,1,1.5,1.5,1.5,1,1.5,1.5,3,1,3,3,23.851,8.498,2.835,4.213,0.8,28571.42857,488,2.540983607,28,7142.857143,"Chem. Eur. J. 2013, 19, 69-73"
2,649.428,0,0.810810811,1.567567568,2.324324324,1.544485834,25.10371905,18.08051789,-2.911688312,22.10640465,7.348914792,2.37296806,219.1637909,21.03,37,0,3,1,3,4,2,2,4,3,0,6,6,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.290322581,1.4448,1,40.7,0.309,6,8,7,7,0,0.89,0.49,0.49,0,0.89,0.49,0.49,0,0.89,0.98,0.98,1.5,1,1.5,1.5,1.5,1,1.5,1.5,3,1,3,3,24.769,8.748,2.939,4.391,0.75,42372.88136,482,2.572614108,17.7,14124.29379,"Adv. Mater. 2013, 25, 6765-6770"
3,589.406,0,0.606060606,1.424242424,2.393939394,1.651988328,21.31082583,16.38701336,-3.751688312,16.8218056,5.412732189,1.660936322,192.8786461,25.96,33,0,4,0,3,3,3,3,6,4,0,5,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.406,1.5,36.5,0.179,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,20.102,7.06,2.296,2.759,1,238095.2381,520,2.384615385,4.2,238.0952381,"Chem. Mater. 2020, 32, 537 "
4,637.45,0,0.567567568,1.405405405,2.378378378,1.547187373,23.87973993,18.3701766,-4.271688312,18.92151479,6.161778213,1.923841107,215.5603106,25.96,37,0,4,0,3,3,4,3,7,4,0,5,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1.406,1.5,36.5,0.179,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,22.662,8.053,2.663,3.151,0.52,288888.8889,632,1.962025316,1.8,266666.6667,"Chem. Mater. 2020, 32, 537 "
5,597.451,0,0.71875,1.625,2.625,1.656948491,20.60371905,15.88701336,-3.271688312,16.37400911,5.198735041,1.52452446,190.5190093,25.96,32,0,4,0,3,3,3,3,6,5,0,6,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.406,1.5,36.5,0.179,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,19.22,6.604,2.118,2.66,0.65,118181.8182,542,2.287822878,5.5,63636.36364,"Chem. Mater. 2020, 32, 537 "
6,581.383,0,0.6875,1.59375,2.59375,1.656948491,20.60371905,15.88701336,-3.691688312,16.01369531,5.02854215,1.463364797,185.6729753,39.1,32,0,5,0,3,3,3,3,6,5,0,6,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.406,1.5,36.5,0.179,6,6,7,7,0,0,0.49,0.49,0,0,0.49,0.49,0,0,0.98,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,19.22,6.604,2.118,2.517,0.78,141818.1818,498,2.489959839,5.5,40000,"Chem. Mater. 2020, 32, 537 "
7,583.379,0,0.78125,1.6875,2.6875,1.656948491,20.60371905,15.88701336,-3.761688312,15.95376483,5.000409148,1.453304271,184.8610769,51.99,32,0,6,0,3,3,3,3,6,6,0,7,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.406,1.5,36.5,0.179,6,6,7,7,0,0,0.49,0.49,0,0,0,0.49,0,0,0.49,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,19.22,6.604,2.118,2.493,0.81,184090.9091,514,2.412451362,4.4,43181.81818,"Chem. Mater. 2020, 32, 537 "
8,581.387,0,0.75,1.65625,2.65625,1.656948491,20.60371905,15.88701336,-3.761688312,15.95376483,5.000409148,1.453304271,185.4543331,43.78,32,0,6,0,3,3,3,3,6,6,0,7,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.406,1.5,36.5,0.179,6,6,7,7,0,0,0,0.49,0,0,0,0.49,0,0,0,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,19.22,6.604,2.118,2.493,1,277777.7778,468,2.64957265,3.6,277.7777778,"Chem. Mater. 2020, 32, 537 "
9,593.398,0,0.848484848,1.757575758,2.727272727,1.651682838,21.47396254,16.28086021,-3.761688312,16.81317685,5.238881371,1.629148011,191.8192752,43.78,33,0,6,0,3,3,3,3,6,6,0,7,0,0,0,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.038461538,1.406,1.5,36.5,0.179,6,6,7,7,0,0,0,0.49,0,0,0,0.49,0,0,0,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,20.102,6.851,2.255,2.669,1,714285.7143,476,2.605042017,1.4,714.2857143,"Chem. Mater. 2020, 32, 537 "
10,653.453,0,0.684210526,1.526315789,2.473684211,1.46824294,24.58684671,18.85333985,-4.541688312,19.55376689,6.470417194,2.011284564,220.5114273,43.78,38,0,6,0,3,3,4,3,7,6,0,7,1,0,0,0,10,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.406,1.5,36.5,0.179,6,6,7,7,0,0,0,0.49,0,0,0,0.49,0,0,0,0.98,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,3,3,23.55,8.525,2.903,3.329,1,270270.2703,480,2.583333333,3.7,270.2702703,"Chem. Mater. 2020, 32, 537 "
